,id,abuse_past_year,abuse_status,length_relationship,partner_abusive,num_abusers,num_children,pregnant,beaten_while_pregnant,support_score,guns_in_home,jealous_past_year,limit_family_contact,location_tracking,threat_hit,thrown_object,push_shove,slap,kick_punch,hit_object,beaten,choked,threat_knife,threat_gun,rape_with_threat,power_scale,harass_scale,id_age,age_disparity,children_not_partner,same_sex_relationship,partner_drug_use,partner_alcohol_use,threat_suicide,partner_reported_child_abuse,partner_arrested,violence_increased,severity_increased,weapon_ever,choked_ever,rape_ever,controlled_ever,jealous,capable_murder,reassault
0,108395,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,2,3,18,-1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
1,108397,1,1,2,1,1,0,0,0,11,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,2,5,30,-1,2,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1.0
2,108399,1,1,5,1,1,2,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,3,2,27,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
3,108443,1,1,2,1,1,0,1,0,12,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,3,5,19,0,2,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0.0
4,108444,1,1,2,1,1,1,0,0,11,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,2,3,18,0,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1.0
5,108456,1,1,2,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,2,8,18,-1,5,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1.0
6,108460,1,1,3,1,1,1,0,1,10,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,2,2,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0
7,108525,1,1,4,1,2,2,0,0,11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,13,36,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1.0
8,108562,1,1,5,1,1,2,0,0,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,7,32,-1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1.0
9,109304,0,0,5,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,22,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
10,109327,0,0,5,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0
11,109335,0,0,1,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,109400,0,0,2,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
13,109455,0,1,2,0,0,2,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,109564,0,0,2,0,0,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
15,109565,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
16,118051,1,0,6,1,1,2,0,0,10,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,3,41,-2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
17,118058,1,1,3,1,1,0,0,0,10,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,4,5,28,0,2,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1.0
18,118175,1,0,6,1,1,2,0,1,12,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,2,0,38,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0
19,118176,1,1,4,1,1,2,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,4,7,22,-1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1.0
20,118177,1,1,6,1,1,2,0,1,12,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,4,10,35,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1.0
21,118178,1,1,4,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,4,5,21,-1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0.0
22,118182,1,1,3,1,1,2,0,1,10,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,4,7,26,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0.0
23,118183,1,1,1,0,1,2,0,1,11,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,4,5,25,0,5,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1.0
24,118192,1,1,2,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,5,14,25,0,2,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1.0
25,118193,1,1,5,1,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,17,30,0,5,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1.0
26,118341,1,1,3,1,1,2,0,0,8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,12,33,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1.0
27,118458,1,1,4,1,2,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,4,3,39,0,2,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0.0
28,118520,1,1,1,0,1,0,0,0,12,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,4,6,36,1,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1.0
29,119097,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
30,119098,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
31,119104,0,0,2,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,119180,0,0,5,0,0,2,0,0,11,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,38,-2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,119181,0,0,5,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,-2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
34,119194,0,0,2,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
35,119208,0,0,5,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,129052,0,0,4,0,0,0,1,0,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,18,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
37,129053,0,1,2,0,0,0,1,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,22,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
38,129117,0,0,4,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
39,138068,1,1,5,1,1,2,0,0,8,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5,6,38,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.0
40,139403,0,1,6,0,0,2,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,148059,1,1,1,0,1,2,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,4,6,30,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1.0
42,148092,1,1,2,1,1,0,0,0,7,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,4,2,18,0,2,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1.0
43,148099,1,1,1,1,1,2,0,0,5,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,4,27,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1.0
44,148100,1,1,2,1,1,0,0,0,12,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,3,18,-1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
45,148106,1,1,2,1,1,2,1,0,10,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,4,6,21,0,5,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1.0
46,148107,1,1,3,1,1,0,0,0,7,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,5,10,32,-2,2,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1.0
47,148108,1,1,3,1,1,0,0,0,12,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,3,4,35,0,2,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0.0
48,148109,1,1,1,0,2,1,1,0,12,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,3,4,20,0,5,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1.0
49,148110,1,1,5,1,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
50,148111,1,1,5,1,1,1,0,0,11,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,3,0,27,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0
51,148113,1,1,5,1,1,2,0,0,10,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,5,8,27,-1,5,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0.0
52,148115,1,1,2,1,1,0,0,0,12,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,4,6,31,-1,2,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1.0
53,148118,1,1,1,0,1,2,0,0,10,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,4,8,36,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1.0
54,148119,1,0,5,1,1,2,0,0,5,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,4,3,39,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0.0
55,148120,1,1,1,1,1,1,1,0,11,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,3,19,-1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.0
56,148122,1,0,3,1,1,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
57,148156,1,1,2,1,1,0,0,0,12,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,8,32,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0
58,148164,1,1,1,1,1,2,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,2,6,20,-1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1.0
59,148204,1,1,2,1,1,0,0,1,8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,13,22,0,2,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0.0
60,148205,1,0,1,0,1,0,0,0,12,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,18,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.0
61,148209,1,1,3,0,1,0,0,0,12,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,3,9,18,-1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
62,148210,1,1,2,1,1,0,0,1,10,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,3,11,18,0,2,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1.0
63,148241,1,1,4,1,1,0,0,1,11,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,4,10,18,0,2,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1.0
64,148242,1,1,1,0,1,1,0,0,12,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,2,3,18,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0.0
65,148245,1,0,2,1,1,2,0,0,12,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,4,25,-1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1.0
66,148247,1,1,4,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,13,21,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1.0
67,148344,1,1,3,0,2,0,0,0,5,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,4,5,34,-3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.0
68,148345,1,1,2,0,1,0,0,0,11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,33,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
69,148350,1,1,4,1,1,0,0,0,11,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,3,6,20,0,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0.0
70,148351,1,1,5,1,1,2,0,0,11,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,2,5,43,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.0
71,148402,1,1,2,1,1,2,0,0,8,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,5,7,26,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1.0
72,148459,1,1,4,1,1,2,0,0,11,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,5,2,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
73,148521,1,1,1,0,1,0,0,0,12,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,3,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
74,148559,1,1,2,1,1,0,0,0,12,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,3,19,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0
75,148560,1,1,2,1,1,2,0,0,7,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,3,7,31,-1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0.0
76,148611,1,1,2,1,1,2,0,0,7,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,29,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
77,148614,1,1,1,0,1,0,0,0,12,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,3,18,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.0
78,149070,0,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,6,27,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
79,149073,0,1,1,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
80,149074,0,1,5,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
81,149112,0,0,2,0,0,2,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,23,-1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.0
82,149114,0,0,2,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0
83,149116,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
84,149155,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
85,149173,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
86,149246,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0
87,149333,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
88,149334,0,0,2,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
89,149401,0,0,1,0,0,0,1,0,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,19,-1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0
90,149626,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,-2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
91,158095,1,1,2,1,1,1,1,0,10,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,27,-2,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1.0
92,158522,1,1,1,0,1,0,0,0,11,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,4,10,20,0,2,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1.0
93,158523,1,1,1,1,2,0,1,0,10,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,5,5,21,0,2,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1.0
94,158561,1,1,1,0,1,0,1,0,5,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,5,12,20,0,2,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0.0
95,158625,1,1,3,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,18,-1,2,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0.0
96,159050,0,0,2,0,0,0,0,0,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,20,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
97,159399,0,1,2,0,0,1,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
98,168071,1,1,2,1,1,1,0,1,8,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,5,9,20,0,5,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1.0
99,168072,1,1,4,1,1,2,0,0,6,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,2,21,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1.0
100,168091,1,0,1,1,1,1,1,0,10,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,5,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
101,168105,1,0,5,1,1,2,0,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,27,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1.0
102,168121,1,1,2,1,1,1,0,0,8,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,5,18,0,5,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0.0
103,168123,1,1,4,1,1,2,0,0,12,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,4,1,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
104,168202,1,1,1,0,1,1,0,1,8,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,4,6,22,0,5,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0
105,168237,1,0,1,0,1,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,-1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0
106,168238,1,0,2,1,1,1,0,0,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,22,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
107,168239,1,1,2,1,1,2,0,1,8,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,4,0,19,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0.0
108,168251,1,0,2,1,1,1,0,0,11,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,5,26,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
109,168252,1,0,3,1,1,1,0,0,12,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
110,168253,1,1,1,1,1,2,0,0,10,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,5,6,32,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1.0
111,168305,1,0,1,0,1,2,0,0,12,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,2,9,22,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1.0
